Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
Sleep Inn Amsterdam,459,N/A,N/A,N/A,"Muiderstraatweg 50 1H, 1111 PS Amsterdam, Netherlands",https://www.booking.com/hotel/nl/sleepinn-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=302&sr_order=popularity&srpvid=10e209168ad901e3&srepoch=1710292655&all_sr_blocks=541595501_388346291_2_0_0&highlighted_blocks=541595501_388346291_2_0_0&matching_block_id=541595501_388346291_2_0_0&sr_pri_blocks=541595501_388346291_2_0_0__42000&from=searchresults#hotelTmpl,52.3374828,4.966723099999999
The Social Hub Amsterdam West 4 star,340,8.4,Very Good,2392,"Jan van Galenstraat 335 Star House building, Slotervaart, 1061 AZ Amsterdam, Netherlands",https://www.booking.com/hotel/nl/the-social-hub-amsterdam-west-4.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=73&sr_order=popularity&srpvid=5b0c09150c1d0170&srepoch=1710292653&all_sr_blocks=635891904_248766705_0_2_0&highlighted_blocks=635891904_248766705_0_2_0&matching_block_id=635891904_248766705_0_2_0&sr_pri_blocks=635891904_248766705_0_2_0__31110&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3719096,4.8365433
Hotel City Garden Amsterdam,338,7.1,Good,3429,"P.C. Hooftstraat 162, Oud Zuid, 1071 CH Amsterdam, Netherlands",https://www.booking.com/hotel/nl/holland.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=df130915f9210030&srepoch=1710292653&all_sr_blocks=1009517_95127949_0_2_0&highlighted_blocks=1009517_95127949_0_2_0&matching_block_id=1009517_95127949_0_2_0&sr_pri_blocks=1009517_95127949_0_2_0__30960&from=searchresults#hotelTmpl,52.3592255,4.8763197
SWEETS - Overtoomsesluis,1028,9.0,Superb,48,"580 Overtoom, Oud-West, 1054 LN Amsterdam, Netherlands",https://www.booking.com/hotel/nl/sweets-overtoomsesluis-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=442&sr_order=popularity&srpvid=6e21091759f50003&srepoch=1710292657&all_sr_blocks=432906801_243294875_0_0_0&highlighted_blocks=432906801_243294875_0_0_0&matching_block_id=432906801_243294875_0_0_0&sr_pri_blocks=432906801_243294875_0_0_0__94095&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3580227,4.8559715
Travel Hotel Amsterdam,400,6.5,Pleasant,1868,"Beursstraat 23, Amsterdam City Centre, 1012 JV Amsterdam, Netherlands",https://www.booking.com/hotel/nl/travel-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=371&sr_order=popularity&srpvid=a9770917d55c0035&srepoch=1710292655&all_sr_blocks=158809203_91681205_0_0_0&highlighted_blocks=158809203_91681205_0_0_0&matching_block_id=158809203_91681205_0_0_0&sr_pri_blocks=158809203_91681205_0_0_0__39750&from=searchresults#hotelTmpl,52.3747834,4.8968156
Pillows Grand Boutique Hotel Maurits at the Park - Small Luxury Hotels,944,9.3,Superb,311,"61 Mauritskade, Oost, 1092 AD Amsterdam, Netherlands",https://www.booking.com/hotel/nl/pillows-maurits-at-the-park.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=135&sr_order=popularity&srpvid=66eb091541510037&srepoch=1710292653&all_sr_blocks=802595807_341554418_0_2_0&highlighted_blocks=802595807_341554418_0_2_0&matching_block_id=802595807_341554418_0_2_0&sr_pri_blocks=802595807_341554418_0_2_0__86400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3621937,4.9196841
Grand Hotel Amrâth Amsterdam,757,7.7,Good,2741,"Prins Hendrikkade 108, Amsterdam City Centre, 1011 AK Amsterdam, Netherlands",https://www.booking.com/hotel/nl/grand-amrath-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=185&sr_order=popularity&srpvid=8aa0091509450004&srepoch=1710292653&all_sr_blocks=1167901_95134449_0_34_0&highlighted_blocks=1167901_95134449_0_34_0&matching_block_id=1167901_95134449_0_34_0&sr_pri_blocks=1167901_95134449_0_34_0__69291&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3745616,4.9039263
WestCord Fashion Hotel Amsterdam,309,8.2,Very Good,3420,"Hendrikje Stoffelstraat 1, Slotervaart, 1058 GC Amsterdam, Netherlands",https://www.booking.com/hotel/nl/westcord-fashion-hotel-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=df130915f9210030&srepoch=1710292653&all_sr_blocks=1848823_95143310_2_2_0&highlighted_blocks=1848823_95143310_2_2_0&matching_block_id=1848823_95143310_2_2_0&sr_pri_blocks=1848823_95143310_2_2_0__28287&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3573835,4.8444144
Red light district B & B canal view,2183,9.5,Exceptional,74,"Oudezijds Voorburgwal 143-1, Amsterdam City Centre, 1012 ES Amsterdam, Netherlands",https://www.booking.com/hotel/nl/red-light-district-apartment.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=138&sr_order=popularity&srpvid=66eb091541510037&srepoch=1710292653&all_sr_blocks=176600702_343350286_4_0_0&highlighted_blocks=176600702_343350286_4_0_0&matching_block_id=176600702_343350286_4_0_0&sr_pri_blocks=176600702_343350286_4_0_0__199800&from=searchresults#hotelTmpl,52.3724547,4.8969423
Hampton by Hilton Amsterdam Centre East,415,8.4,Very Good,3134,"Panama Laan 188-196, Zeeburg, 1019 AZ Amsterdam, Netherlands",https://www.booking.com/hotel/nl/hampton-by-hilton-amsterdam-centre-east.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=344&sr_order=popularity&srpvid=4fac0917547500ba&srepoch=1710292655&all_sr_blocks=172737101_94617956_2_1_0&highlighted_blocks=172737101_94617956_2_1_0&matching_block_id=172737101_94617956_2_1_0&sr_pri_blocks=172737101_94617956_2_1_0__37939&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3712577,4.9347077
