Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
The Social Hub Berlin Alexanderplatz,255,8.2,Very Good,7208,"Alexanderstraße 40, Mitte, 10179 Berlin, Germany",https://www.booking.com/hotel/de/the-social-hub-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=84&sr_order=popularity&srpvid=76670d82307f007a&srepoch=1710294919&all_sr_blocks=498141204_167876146_0_2_0&highlighted_blocks=498141204_167876146_0_2_0&matching_block_id=498141204_167876146_0_2_0&sr_pri_blocks=498141204_167876146_0_2_0__23320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.51691770000001,13.4172016
Gorki Apartments,706,9.2,Superb,279,"Weinbergsweg 25, Mitte, 10119 Berlin, Germany",https://www.booking.com/hotel/de/gorki-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=155&sr_order=popularity&srpvid=f3830d8280430220&srepoch=1710294919&all_sr_blocks=84104504_88938325_0_2_0&highlighted_blocks=84104504_88938325_0_2_0&matching_block_id=84104504_88938325_0_2_0&sr_pri_blocks=84104504_88938325_0_2_0__64600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5307039,13.4015269
Hotel AMANO Grand Central,210,8.2,Very Good,10131,"Heidestrasse 62, Mitte, 10557 Berlin, Germany",https://www.booking.com/hotel/de/amano-grand-central.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=105&sr_order=popularity&srpvid=57ba0d82616100f5&srepoch=1710294919&all_sr_blocks=139710901_86700931_0_2_0&highlighted_blocks=139710901_86700931_0_2_0&matching_block_id=139710901_86700931_0_2_0&sr_pri_blocks=139710901_86700931_0_2_0__19206&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5272794,13.3704197
Park Inn by Radisson Berlin Alexanderplatz,238,7.4,Good,20468,"Alexanderplatz 7, Mitte, 10178 Berlin, Germany",https://www.booking.com/hotel/de/park-inn-berlin-alexanderplatz.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9c5c0d82fe950434&srepoch=1710294919&all_sr_blocks=6384704_94687227_0_34_0&highlighted_blocks=6384704_94687227_0_34_0&matching_block_id=6384704_94687227_0_34_0&sr_pri_blocks=6384704_94687227_0_34_0__21780&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5230222,13.4124047
Generator Berlin Alexanderplatz,255,7.3,Good,4698,"Otto Braun Str. 65, Mitte, 10178 Berlin, Germany",https://www.booking.com/hotel/de/one-80-hostels-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=179&sr_order=popularity&srpvid=eb8c0d82dc480070&srepoch=1710294919&all_sr_blocks=38404217_372486529_0_2_0&highlighted_blocks=38404217_372486529_0_2_0&matching_block_id=38404217_372486529_0_2_0&sr_pri_blocks=38404217_372486529_0_2_0__23375&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.52388209999999,13.4180214
about:berlin Hotel,278,8.6,Fabulous,3873,"Tauentzienstr. 8, Charlottenburg-Wilmersdorf, 10789 Berlin, Germany",https://www.booking.com/hotel/de/about-berlin-hotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=79&sr_order=popularity&srpvid=76670d82307f007a&srepoch=1710294919&all_sr_blocks=6050624_166194096_0_2_0&highlighted_blocks=6050624_166194096_0_2_0&matching_block_id=6050624_166194096_0_2_0&sr_pri_blocks=6050624_166194096_0_2_0__25470&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.50366289999999,13.3386821
TITANIC Gendarmenmarkt Berlin,427,8.5,Very Good,6219,"Französische Straße 30, Mitte, 10117 Berlin, Germany",https://www.booking.com/hotel/de/titanic-gendarmenmarkt-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=69&sr_order=popularity&srpvid=79e70d82efb80160&srepoch=1710294919&all_sr_blocks=127852202_91476954_2_2_0&highlighted_blocks=127852202_91476954_2_2_0&matching_block_id=127852202_91476954_2_2_0&sr_pri_blocks=127852202_91476954_2_2_0__39040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5149621,13.3944214
SANA Berlin Hotel,290,8.5,Very Good,4937,"Nürnberger Straße 33/34, Charlottenburg-Wilmersdorf, 10777 Berlin, Germany",https://www.booking.com/hotel/de/sana-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=65&sr_order=popularity&srpvid=79e70d82efb80160&srepoch=1710294919&all_sr_blocks=27142712_91470574_2_2_0&highlighted_blocks=27142712_91470574_2_2_0&matching_block_id=27142712_91470574_2_2_0&sr_pri_blocks=27142712_91470574_2_2_0__26568&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.499022,13.334481
AMANO East Side,198,8.3,Very Good,6447,"Stralauer Platz 30-31, Friedrichshain-Kreuzberg, 10243 Berlin, Germany",https://www.booking.com/hotel/de/amano-east-side.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=9c5c0d82fe950434&srepoch=1710294919&all_sr_blocks=755921501_332426243_0_2_0&highlighted_blocks=755921501_332426243_0_2_0&matching_block_id=755921501_332426243_0_2_0&sr_pri_blocks=755921501_332426243_0_2_0__18145&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5096356,13.4312734
Hotel AMO by AMANO Friedrichstraße,208,8.3,Very Good,4494,"Friedrichstraße 113, Mitte, 10117 Berlin, Germany",https://www.booking.com/hotel/de/amo-by-amano.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9c5c0d82fe950434&srepoch=1710294919&all_sr_blocks=473190001_147355408_0_2_0&highlighted_blocks=473190001_147355408_0_2_0&matching_block_id=473190001_147355408_0_2_0&sr_pri_blocks=473190001_147355408_0_2_0__19000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5257747,13.3879033
