Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
BlueBerryHillLoJ-Brussel,322,5.0,Passable,1,"180 Wijnheuvelenstraat E1.2, Schaarbeek / Schaerbeek, 1030 Brussels, Belgium",https://www.booking.com/hotel/be/blueberryhillloj-brussel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=422&sr_order=popularity&srpvid=f5750a3b48830060&srepoch=1710293241&all_sr_blocks=1125014901_385198710_2_0_0&highlighted_blocks=1125014901_385198710_2_0_0&matching_block_id=1125014901_385198710_2_0_0&sr_pri_blocks=1125014901_385198710_2_0_0__29484&from=searchresults#hotelTmpl,50.85931240000001,4.3774978
Gallery Home,236,7.1,Good,31,"15 Rue Picard BLOC D  number 71 Floor 4, Sint-Jans-Molenbeek / Molenbeek-Saint-Jean, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/galerery-home.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=409&sr_order=popularity&srpvid=f5750a3b48830060&srepoch=1710293241&all_sr_blocks=1013975401_373982357_2_0_0&highlighted_blocks=1013975401_373982357_2_0_0&matching_block_id=1013975401_373982357_2_0_0&sr_pri_blocks=1013975401_373982357_2_0_0__21600&from=searchresults#hotelTmpl,50.86436250000001,4.3425842
Atlas Hotel Brussels,355,8.0,Very Good,7873,"Rue Du Vieux Marché Aux Grains, 30, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/atlas-brussels.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=138&sr_order=popularity&srpvid=766a0a39a7a4001c&srepoch=1710293236&all_sr_blocks=17463903_0_2_1_0&highlighted_blocks=17463903_0_2_1_0&matching_block_id=17463903_0_2_1_0&sr_pri_blocks=17463903_0_2_1_0__32491&from=searchresults#hotelTmpl,50.8495115,4.3460619
Sleep Well Youth Hostel,225,8.1,Very Good,15375,"Rue du Damier 23, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/sleep-well-youth-hostel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=331&sr_order=popularity&srpvid=aaaa0a3a519100ea&srepoch=1710293239&all_sr_blocks=85346301_270919795_0_1_0&highlighted_blocks=85346301_270919795_0_1_0&matching_block_id=85346301_270919795_0_1_0&sr_pri_blocks=85346301_270919795_0_1_0__20600&from=searchresults#hotelTmpl,50.85288749999999,4.358158599999999
Aloft Brussels Schuman,273,8.6,Fabulous,2374,"Place Jean Rey, 1040 Brussels, Belgium",https://www.booking.com/hotel/be/aloft-brussels-schuman.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=fae40a39af620107&srepoch=1710293236&all_sr_blocks=25067407_95421074_0_42_0&highlighted_blocks=25067407_95421074_0_42_0&matching_block_id=25067407_95421074_0_42_0&sr_pri_blocks=25067407_95421074_0_42_0__25020&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8405743,4.3795303
Marivaux Hotel,260,8.2,Very Good,8389,"Boulevard Adolphe Max 98, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/marivaux-congress-seminar-centre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4dec0a3990dd0094&srepoch=1710293236&all_sr_blocks=2154806_233032009_0_2_0&highlighted_blocks=2154806_233032009_0_2_0&matching_block_id=2154806_233032009_0_2_0&sr_pri_blocks=2154806_233032009_0_2_0__24656&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8539837,4.3555195
Pillows City Hotel Brussels Centre,400,9.0,Superb,2569,"Rue des Paroissiens 15-27, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/sandton-brussels-centre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=388&sr_order=popularity&srpvid=32eb0a3a8792007e&srepoch=1710293239&all_sr_blocks=23580301_91468181_0_2_0&highlighted_blocks=23580301_91468181_0_2_0&matching_block_id=23580301_91468181_0_2_0&sr_pri_blocks=23580301_91468181_0_2_0__36575&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8468537,4.3594028
Hygge Hotel,289,8.4,Very Good,4939,"31 Rue des Drapiers, Elsene / Ixelles, 1050 Brussels, Belgium",https://www.booking.com/hotel/be/hygge.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=a2060a39755c00d0&srepoch=1710293236&all_sr_blocks=216840004_97205282_0_2_0&highlighted_blocks=216840004_97205282_0_2_0&matching_block_id=216840004_97205282_0_2_0&sr_pri_blocks=216840004_97205282_0_2_0__26410&from=searchresults#hotelTmpl,50.8349627,4.3593742
L'Auberge de l'éclipse,224,8.0,Very Good,848,"5 Rue de l'Eclipse, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/l-39-heberge-de-l-39-eclipse.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=394&sr_order=popularity&srpvid=32eb0a3a8792007e&srepoch=1710293239&all_sr_blocks=682863401_278338917_2_0_0&highlighted_blocks=682863401_278338917_2_0_0&matching_block_id=682863401_278338917_2_0_0&sr_pri_blocks=682863401_278338917_2_0_0__20478&from=searchresults#hotelTmpl,50.8466301,4.3471338
Novotel Brussels City Centre,303,8.2,Very Good,5471,"Rue de la Vierge Noire 32, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/novoteltournoire.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=67&sr_order=popularity&srpvid=a2060a39755c00d0&srepoch=1710293236&all_sr_blocks=2014316_93782524_2_2_0&highlighted_blocks=2014316_93782524_2_2_0&matching_block_id=2014316_93782524_2_2_0&sr_pri_blocks=2014316_93782524_2_2_0__27700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8506742,4.3498014
